Film_title,Release_year,Director,Genres,Owner_rating,Average_rating,Runtime,Countries,Original_Language,Spoken_Languages,Watches,List_Appearances,Likes,Cast,Studios,Letterboxd URL
Last Call for Istanbul,2023,Gönenç Uyanık,"['Drama', 'Romance']",3,2.3,91,['Turkey'],Turkish,"['Turkish', 'English']",14586,794,797,"['Beren Saat', 'Kıvanç Tatlıtuğ', 'Senan Kara', 'Zihan Zhao', 'Michael Loayza', 'Susan Slatin', 'Annie McCain Engman', 'Joy Donze', 'Daniel Kwiatkowski']","['OGM Pictures', 'PToT Film']",https://letterboxd.com//film/last-call-for-istanbul/
Love Likes Coincidences,2011,Ömer Faruk Sorak,"['Romance', 'Drama']",4,3.24,118,['Turkey'],Turkish,['Turkish'],19561,886,1486,"['Mehmet Günsür', 'Belçim Bilgin', 'Altan Erkekli', 'Ayda Aksel', 'Şebnem Sönmez', 'Hüseyin Avni Danyal', 'Yiğit Özşener', 'Berna Konur', 'Ümit Bulent Dincer', 'Zafer Demircan', 'Hakan Çimenser', 'Pınar Çağlayan', 'Batuhan Karacakaya', 'Asena Keskinci', 'Berkant Keskin', 'Yılmaz Gruda', 'Cezmi Baskın', 'Cansel Elçin', 'Ayşe Arman', 'Arif Keskiner']",['Böcek Yapım'],https://letterboxd.com//film/love-likes-coincidences/
The Chorus,2004,Christophe Barratier,['Drama'],4.5,3.91,97,"['France', 'Germany', 'Switzerland']",French,['French'],102641,13540,24095,"['Gérard Jugnot', 'François Berléand', 'Kad Merad', 'Jean-Paul Bonnaire', 'Marie Bunel', 'Jean-Baptiste Maunier', 'Maxence Perrin', 'Grégory Gatignol', 'Thomas Blumenthal', 'Cyril Bernicot', 'Philippe du Janerand', 'Carole Weiss', 'Erick Desmarestz', 'Didier Flamand', 'Jacques Perrin', 'Simon Fargeot', 'Théodule Carré-Cassaigne', 'Armen Godel', 'Steve Gadler', 'Paul Chariéras', 'Monique Ditisheim', 'Fabrice Dubusset', 'Marielle Coubaillon', 'Violette Barratier', 'Christophe Borie']","['Galatée Films', 'Pathé Renn Productions', 'France 2 Cinéma', 'Novo Arturo Films', 'Vega Film', 'Miramax']",https://letterboxd.com//film/the-chorus/
The Social Dilemma,2020,Jeff Orlowski,"['Documentary', 'Drama']",3,3.23,94,['USA'],English,['English'],238562,19442,31794,"['Skyler Gisondo', 'Kara Hayward', 'Vincent Kartheiser', 'Tristan Harris', 'Jaron Lanier', 'Sophia Hammons', 'Catalina Garayoa', 'Barbara Gehring', 'Chris Grundy', 'Vic Alejandro', 'Laura Obiols', 'Gavin White']","['Exposure Labs', 'Argent Pictures', 'The Space Program']",https://letterboxd.com//film/the-social-dilemma/
The Intern,2015,Nancy Meyers,['Comedy'],2.5,3.24,121,['USA'],English,['English'],374599,27542,63124,"['Robert De Niro', 'Anne Hathaway', 'Rene Russo', 'Anders Holm', 'JoJo Kushner', 'Andrew Rannells', 'Adam Devine', 'Zack Pearlman', 'Jason Orley', 'Christina Scherer', 'Nat Wolff', 'Linda Lavin', 'Celia Weston', 'Steve Vinovich', 'C.J. Wilson', 'Mary Kay Place', 'Erin Mackey', 'Christina Brucato', 'Wallis Currie-Wood', 'Molly Bernard', 'Paulina Singer', 'Annie Funke', 'Christine Evangelista', 'Julee Cerda', 'Peter Vack', 'Nikki Granatell', 'Liza Binkley', 'Eshan Bay', 'Caitlin Kinnunen', 'Tristan Griffin', 'Sydney Morton', 'Brandon Tyler Harris', 'Elena Shaddow', 'Liz Holtan', 'Claire Saunders', 'G. Keith Alexander', 'Susan Feldman', 'Mark D. Sikes', 'Drena De Niro', 'Max von Essen', 'George Merrick', 'Casey Benjamin', 'Ruby Motz', 'Emma Angstadt', 'Eliud Kauffman', 'Jenny Fellner', 'Sean Kleier', 'Elliot Villar', 'Tiffany Chen', 'Nikki James', 'Mayumi Miguel', 'JoAnna Powell', 'Dan Castiglione', 'Edie Cowan', 'Ronald Duncan', 'Michael Mann', 'Leasen Beth Almquist', ""Leah O'Donnell"", 'William Ryall', 'Djassi DaCosta Johnson', 'Ashley Amber Haas', 'Michael Gorman', 'Katherine Argo', 'Matt Wall', 'Daniel A. Weiner', 'Frazer Brown', 'Doris McCarthy', 'Kerttu Veske']","['Warner Bros. Pictures', 'RatPac Entertainment', 'Waverly Films']",https://letterboxd.com//film/the-intern-2015/
Sisters-In-Law at War,2020,Onur Bilgetay,['Comedy'],3.5,2.85,118,['Turkey'],Turkish,['Turkish'],10456,434,429,"['Gupse Özay', 'Merve Dizdar', 'Ferit Aktuğ', 'Uraz Kaygılaroğlu', 'Füsun Demirel', 'Ali İpin', 'Hülya Duyar', 'Kubilay Tunçer', 'Gamze Demirbilek', 'Taylan Erler', 'Sanem Yeles', 'Mekin Sezer', 'Ayta Sözeri', 'Vural Ceylan', 'Feriha Eyüboğlu', 'Husnu Mert Hayal', 'Zeki Ocak', 'Sezgin Tekin', 'Kaan Yabas', 'Mert Öner', 'Fatih Özkan']",['Nulook Production'],https://letterboxd.com//film/sisters-in-law-at-war/
Ted,2012,Seth MacFarlane,"['Fantasy', 'Comedy']",3,2.93,107,['USA'],English,['English'],877710,39487,113319,"['Mark Wahlberg', 'Mila Kunis', 'Seth MacFarlane', 'Joel McHale', 'Giovanni Ribisi', 'Patrick Warburton', 'Matt Walsh', 'Jessica Barth', 'Aedin Mincks', 'Bill Smitrovich', 'Patrick Stewart', 'Norah Jones', 'Sam J. Jones', 'Tom Skerritt', 'Bretton Manley', 'Ralph Garman', 'Alex Borstein', 'John Viener', 'Laura Vandervoort', 'Robert Wu', 'Ginger Gonzaga', 'Jessica Stroup', 'Melissa Ordway', 'Max Harris', 'Zane Cowans', 'T.J. Hourigan', 'Owen Clarke', 'Kristina Ellery', 'Katelyn Lorren', 'Chanty Sok', 'Sarah Fischer', 'Cassie Djerf', 'Joe Siriani', 'Pat Shea', 'Josh Duvendeck', 'Chris Cox', 'Henry Penzi', 'Tania Cabrera', 'Colton Shires', 'Viera Andrea Moya', 'Heajee Kim', 'Lydia Hannibal', 'Shawn Thornton', 'Eric Weinstein', 'Danny Smith', 'Mike Nikitas', 'Robin Hamilton', 'Mike Henry', 'Johnny Lee Davenport', 'Chris Everett', 'Tara Strong', 'Ted Danson', 'Ryan Reynolds', 'Olivia Jordan', 'Alexandra Creteau', 'Emmalyn Anderson', 'John Franchi', 'Ronald Boone', 'Simon Deren']","['Universal Pictures', 'MRC', 'Fuzzy Door Productions', 'Bluegrass Films', 'Smart Entertainment']",https://letterboxd.com//film/ted/
Holidate,2020,John Whitesell,"['Romance', 'Comedy']",3,2.5,104,['USA'],English,['English'],223895,27601,28404,"['Emma Roberts', 'Luke Bracey', 'Kristin Chenoweth', 'Frances Fisher', 'Andrew Bachelor', 'Manish Dayal', 'Jessica Capshaw', 'Alex Moffat', 'Cynthy Wu', 'Jake Manley', 'Julien Marlon Samani', 'Nicola Peltz Beckham', 'Dan Lauria', 'Mikaela Hoover', 'Aimee Carrero', 'Meeghan Holaway', 'Carlos Lacámara', 'Savannah Reina', 'Olivia H. Hunt', 'Jessejames Locorriere', 'Kyra Grace', 'Briana Starks', 'Summer Rose Ly', 'Marisa Davila', 'Jonathan Baron', 'Robert Shin', 'Kunnika Chumpolpakdee', 'Patrick Lamont Jr.', 'Carl McDowell', 'Kurt Yue', 'Brian Ashton Smith', 'Brooke Jaye Taylor', 'Nastassia Johnson', 'Anne-Marie Kennedy', 'Monib Abhat', 'Stephanie Tarling', 'Sarah Hamff']",['Wonderland Sound and Vision'],https://letterboxd.com//film/holidate/
Husband Factor,2015,Kıvanç Baruönü,"['Comedy', 'Romance']",2,2.91,108,['Turkey'],Turkish,['Turkish'],8943,370,256,"['Ezgi Mola', 'Murat Yildirim', 'Nevra Serezli', 'Gülenay Kalkan', 'Ebru Cündübeyoğlu', 'Eda Ece', 'Begüm Öner', 'Gül Arici', 'Muhammet Uzuner', 'İsmail İncekara', 'Emine Gülsüm Göznümer', 'Ayten Mısırlıoğlu', 'Şebnem Sönmez', 'Bora Akkaş', 'Cem Kılıç', 'Enis Arıkan', 'Burak Topaloğlu', 'Romina Özipekçi', 'Efecan Şenolsun', 'Leyla Erdoğan', 'Serra Menderes']",['BKM'],https://letterboxd.com//film/husband-factor/
Overnight Republic,2017,Murat Kepez,['Comedy'],4,2.89,105,['Turkey'],Turkish,['Turkish'],5691,209,248,"['Çağlar Çorumlu', 'Büşra Pekin', 'Mahir İpek', 'Uğur Bilgin', 'Ersin Korkut', 'Gülhan Tekin', 'Öner Ateş', 'Hamza Yazıcı', 'Fuat Onan']",['BKM'],https://letterboxd.com//film/overnight-republic/
